exec,attr,mean_squared_error,r2
0,A,0.0031354104295874038,0.9623161460440698
0,P,0.0015585794592534632,0.9804481768367801
0,C,0.0028421917059218344,0.9327961177599712
0,LK,0.0027644027661338634,0.9579370912021751
0,WK,0.0025383007797080575,0.9680823367128737
0,AC,0.023754314460380087,0.34640804162998784
0,LKG,0.005239111208503949,0.9092499072855103
1,A,0.003028223166038579,0.954818778081889
1,P,0.0017084921453981523,0.9731405787042051
1,C,0.003131276861106659,0.9369795791475288
1,LK,0.0014422861603275786,0.9707805936296142
1,WK,0.002851193454347981,0.9573019755764882
1,AC,0.02831672347594545,0.23343735204471527
1,LKG,0.005179713834637563,0.8821722206056467
2,A,0.0027013908608863615,0.964853192539096
2,P,0.0017244498549318055,0.9772147457628477
2,C,0.0034173223736784853,0.9233977524516805
2,LK,0.0019256501875906042,0.9710670795421869
2,WK,0.0028131846969247434,0.9615370860694346
2,AC,0.030109094311448318,0.2515432931496614
2,LKG,0.004607042146266881,0.9227779330467671
3,A,0.003142745801402316,0.9620833541244704
3,P,0.0025529199538477567,0.9671551313027329
3,C,0.00330968369221534,0.9307025450168168
3,LK,0.0017886402426017137,0.9712050362813971
3,WK,0.0027361146079819014,0.966030165628145
3,AC,0.03010523427038877,0.27815232223604924
3,LKG,0.005023115964839809,0.9177699257586408
4,A,0.0028823327807418852,0.9654086141963489
4,P,0.001786465896408629,0.9773158997994242
4,C,0.003707479142972668,0.9309888637348115
4,LK,0.0025113886979715627,0.9632860325373077
4,WK,0.002791894065475051,0.9659157910229086
4,AC,0.023978067317829147,0.28701794599654273
4,LKG,0.005824488968468788,0.9078718169647073
5,A,0.002273500941721915,0.9648506297896661
5,P,0.0013957711387266609,0.9780963330319874
5,C,0.0034436458756396627,0.9116065956703191
5,LK,0.0015133632466378401,0.97196461197986
5,WK,0.0020169706611858278,0.9671999382304777
5,AC,0.030586890588066504,0.27308855640820295
5,LKG,0.005178461840071804,0.9044587022868991
6,A,0.0024580830249898112,0.9652716708512433
6,P,0.0018231663304610925,0.9736581898708568
6,C,0.0023848277700762566,0.9391262543828244
6,LK,0.002614622426098471,0.952780270324739
6,WK,0.002197880527073919,0.9673597889437492
6,AC,0.027372066285939595,0.21827026745355738
6,LKG,0.004831646481667203,0.9127416354128912
7,A,0.0024378152557445096,0.9687316681832312
7,P,0.0013288121326533251,0.9818942190404782
7,C,0.0030555050811496096,0.9375270261510716
7,LK,0.001964900525773302,0.9673754674857378
7,WK,0.0025479870246759456,0.9664101468104758
7,AC,0.029426406224942185,0.2745126030040276
7,LKG,0.004905132930285979,0.9162874713945036
8,A,0.002270224983934513,0.9692336152468516
8,P,0.0012315174430602414,0.9823827647063395
8,C,0.003601536442004465,0.9299190750647929
8,LK,0.0024386801344650245,0.9592400330359663
8,WK,0.003161180513147658,0.957849984766044
8,AC,0.02307747274259888,0.2611453311591151
8,LKG,0.005042980080189199,0.9106508762471627
9,A,0.0029602716156471413,0.9608835135826576
9,P,0.0016145629806007524,0.9773572674531414
9,C,0.003064608364781656,0.9313490462608173
9,LK,0.002901930934476423,0.952566862760378
9,WK,0.0025763382069723777,0.9666622542469852
9,AC,0.03244077054227771,0.3049488880680855
9,LKG,0.006165137122141121,0.8918266282660431
